20201222_01,1,0.5,0.75,0.75,0.6667
20201222_01,2,0.5,0.75,0.75,0.6667
20201222_01,3,0.5,0.75,0.75,0.6667
20201222_01,4,0.5,0.4844,0.75,0.5781
20201222_01,5,0.5,0.25,0.75,0.5
20201222_01,6,0.5,0.5781,0.75,0.6094
20201222_01,7,0.5,0.75,0.75,0.6667
20201222_01,8,0.5,0.75,0.75,0.6667
20201222_01,9,0.5,0.75,0.75,0.6667
20201222_01,10,0.5,0.75,0.75,0.6667
20201222_01,11,0.5,0.75,0.75,0.6667
20201222_01,12,0.5,0.75,0.75,0.6667
20201222_01,13,0.5,0.75,0.75,0.6667
20201222_01,14,0.5,0.75,0.75,0.6667
20201222_01,15,0.5,0.75,0.75,0.6667
20201222_01,16,0.5,0.75,0.75,0.6667
20201222_01,17,0.6719,0.75,0.75,0.724
20201222_01,18,0.75,0.75,0.75,0.75
20201222_01,19,0.75,0.75,0.75,0.75
20201222_01,20,0.75,0.75,0.75,0.75
20201222_01,21,0.75,0.75,0.75,0.75
20201222_01,22,0.75,0.75,0.75,0.75
20201222_01,23,0.75,0.75,0.75,0.75
20201222_01,24,0.6562,0.6562,0.6562,0.6562
20201222_01,25,0.25,0.25,0.25,0.25
20201222_01,26,0.25,0.25,0.25,0.25
20201222_01,27,0.25,0.25,0.25,0.25
20201222_01,28,0.3594,0.4688,0.4688,0.4323
20201222_01,29,0.5,0.75,0.75,0.6667
20201222_01,30,0.5,0.75,0.75,0.6667
20201222_01,31,0.5,0.75,0.75,0.6667
20201222_01,32,0.5,0.75,0.75,0.6667
20201222_01,33,0.5,0.7266,0.6797,0.6354
20201222_01,34,0.5,0.5,0,0.3333
20201222_02,1,0.75,0.75,0.75,0.75
20201222_02,2,0.75,0.75,0.75,0.75
20201222_02,3,0.75,0.75,0.75,0.75
20201222_02,4,0.75,0.75,0.75,0.75
20201222_02,5,0.75,0.75,0.75,0.75
20201222_02,6,0.75,0.75,0.75,0.75
20201222_02,7,0.75,0.75,0.75,0.75
20201222_02,8,0.75,0.75,0.75,0.75
20201222_02,9,0.75,0.75,0.75,0.75
20201222_02,10,0.75,0.75,0.75,0.75
20201222_02,11,0.75,0.75,0.75,0.75
20201222_02,12,0.75,0.75,0.75,0.75
20201222_02,13,0.6172,0.4844,0.75,0.6172
20201222_02,14,0.5,0.25,0.75,0.5
20201222_02,15,0.5,0.25,0.75,0.5
20201222_02,16,0.5,0.25,0.75,0.5
20201222_02,17,0.5,0.25,0.75,0.5
20201222_02,18,0.5,0.25,0.75,0.5
20201222_02,19,0.5,0.25,0.75,0.5
20201222_02,20,0.7187,0.25,0.75,0.5729
20201222_02,21,0.75,0.25,0.75,0.5833
20201222_02,22,0.75,0.25,0.75,0.5833
20201222_02,23,0.75,0.25,0.75,0.5833
20201222_02,24,0.75,0.25,0.75,0.5833
20201222_02,25,0.75,0.5625,0.75,0.6875
20201222_02,26,0.75,0.75,0.75,0.75
20201222_02,27,0.75,0.75,0.75,0.75
20201222_02,28,0.75,0.75,0.75,0.75
20201222_02,29,0.75,0.75,0.75,0.75
20201222_02,30,0.75,0.75,0.75,0.75
20201222_02,31,0.75,0.75,0.75,0.75
20201222_02,32,0.75,0.75,0.75,0.75
20201222_02,33,0.75,0.75,0.75,0.75
20201222_02,34,0.75,0.75,0.75,0.75
20201222_02,35,0.75,0.75,0.75,0.75
20201222_02,36,0.75,0.75,0.75,0.75
20201222_02,37,0.75,0.75,0.75,0.75
20201222_02,38,0.75,0.75,0.75,0.75
20201222_02,39,0.75,0.75,0.75,0.75
20201222_02,40,0.75,0.75,0.75,0.75
20201222_02,41,0.75,0.75,0.75,0.75
20201222_02,42,0.75,0.75,0.75,0.75
20201222_02,43,0.75,0.75,0.75,0.75
20201222_02,44,0.75,0.75,0.75,0.75
20201222_02,45,0.75,0.75,0.75,0.75
20201222_02,46,0.75,0.75,0.75,0.75
20201222_02,47,0.75,0.75,0.75,0.75
20201222_02,48,0.75,0.75,0.75,0.75
20201222_02,49,0.75,0.75,0.75,0.75
20201222_02,50,0.75,0.75,0.75,0.75
20201222_02,51,0.75,0.75,0.75,0.75
20201222_02,52,0.75,0.75,0.75,0.75
20201222_02,53,0.75,0.75,0.75,0.75
20201222_02,54,0.75,0.75,0.75,0.75
20201222_02,55,0.75,0.75,0.75,0.75
20201222_02,56,0.75,0.75,0.75,0.75
20201222_02,57,0.75,0.75,0.75,0.75
20201222_02,58,0.75,0.75,0.75,0.75
20201222_02,59,0.75,0.75,0.75,0.75
20201222_02,60,0.75,0.75,0.75,0.75
20201222_02,61,0.75,0.75,0.75,0.75
20201222_02,62,0.75,0.75,0.75,0.75
20201222_02,63,0.75,0.75,0.75,0.75
20201222_02,64,0.75,0.75,0.75,0.75
20201222_02,65,0.75,0.75,0.75,0.75
20201222_02,66,0.75,0.75,0.75,0.75
20201222_02,67,0.75,0.75,0.75,0.75
20201222_02,68,0.5781,0.5781,0.2344,0.4635
20201222_02,69,0.5,0.5,0,0.3333
20201222_02,70,0.5,0.5,0,0.3333
20201222_02,71,0.5,0.5,0,0.3333
20201222_02,72,0.5,0.5,0,0.3333
20201222_02,73,0.5,0.5,0,0.3333
20201222_02,74,0.5,0.5,0.1641,0.388
20201222_02,75,0.5,0.5,0.75,0.5833
20201222_02,76,0.5,0.5,0.75,0.5833
20201222_02,77,0.5,0.5,0.75,0.5833
20201222_02,78,0.5,0.5,0.75,0.5833
